id,admin_name,left,top,width,height,center_x,center_y,drop_x,drop_y,drop_x,drop_y
AFG,Afghanistan,2728,749,181,120,2818.5,809.0,2789.5789322503256,808.5865069454215,2789.5789322503256,808.5865069454215
ALB,Albania,2259,701,37,52,2277.5,727.0,2275.6294484481987,726.5207279729773,2275.6294484481987,726.5207279729773
DZA,Algeria,1941,765,252,223,2067.0,876.5,2054.6844804431257,875.5087453639104,2054.6844804431257,875.5087453639104
AND,Andorra,2056,701,21,20,2066.5,711.0,2065.7690866775147,710.7011099534216,2065.7690866775147,710.7011099534216
AGO,Angola,2173,1237,158,172,2252.0,1323.0,2262.626322520641,1330.4205288675548,2262.626322520641,1330.4205288675548
ATG,Antigua and Barbuda,1331,985,24,26,1343.0,998.0,1344.987419142257,1000.3436770133325,1344.987419142257,1000.3436770133325
ARG,Argentina,1203,1435,243,395,1324.5,1632.5,1320.1649017645418,1616.6741307903994,1320.1649017645418,1616.6741307903994
ARM,Armenia,2534,717,53,44,2560.5,739.0,2558.1407790085,738.6581608789329,2558.1407790085,738.6581608789329
AUS,Australia,3325,1292,542,535,3596.0,1559.5,3562.167481861689,1478.2339547932434,3562.167481861689,1478.2339547932434
AUT,Austria,2148,629,104,47,2200.0,652.5,2215.9769625698327,652.0082951395548,2215.9769625698327,652.0082951395548
AZE,Azerbaijan,2549,710,84,57,2591.0,738.5,2591.013038470152,737.9963622286215,2591.013038470152,737.9963622286215
BHS,The Bahamas,1134,880,95,86,1181.5,923.0,1156.7161772828542,891.4168013198214,1156.7161772828542,891.4168013198214
BHR,Bahrain,2613,888,22,25,2624.0,900.5,2623.087355212221,898.8207603484437,2623.087355212221,898.8207603484437
BGD,Bangladesh,3041,884,70,84,3076.0,926.0,3070.3995746757123,925.2668749994658,3070.3995746757123,925.2668749994658
BRB,Barbados,1361,1035,20,20,1371.0,1045.0,1370.2694700457296,1044.5520103423996,1370.2694700457296,1044.5520103423996
BLR,Belarus,2304,548,125,73,2366.5,584.5,2366.7908665003524,583.6864108771547,2366.7908665003524,583.6864108771547
BEL,Belgium,2069,601,61,40,2099.5,621.0,2103.0966347929825,620.109246526577,2103.0966347929825,620.109246526577
BLZ,Belize,1025,976,33,47,1041.5,999.5,1038.5133570804194,998.9966862734217,1038.5133570804194,998.9966862734217
BEN,Benin,2049,1046,52,87,2075.0,1089.5,2073.9530372944414,1088.7760557283545,2073.9530372944414,1088.7760557283545
BTN,Bhutan,3050,864,55,36,3077.5,882.0,3075.3647688431547,881.5050365809914,3075.3647688431547,881.5050365809914
BOL,Bolivia,1247,1297,156,167,1325.0,1380.5,1316.5705085196664,1379.9861122730663,1316.5705085196664,1379.9861122730663
BIH,Bosnia and Herzegovina,2219,671,61,48,2249.5,695.0,2252.0682000062343,694.9660451384885,2252.0682000062343,694.9660451384885
BWA,Botswana,2267,1389,124,121,2329.0,1449.5,2326.4306127968644,1448.906542819555,2326.4306127968644,1448.906542819555
BRA,Brazil,1198,1127,530,461,1463.0,1357.5,1482.205737911674,1356.673278896355,1482.205737911674,1356.673278896355
BRN,Brunei,3337,1129,33,29,3353.5,1143.5,3350.3964318903195,1143.0349803235545,3350.3964318903195,1143.0349803235545
BGR,Bulgaria,2294,683,88,51,2338.0,708.5,2334.6026115393825,708.4689085610664,2334.6026115393825,708.4689085610664
BFA,Burkina Faso,1977,1015,107,82,2030.5,1056.0,2034.2217807840445,1055.6004780088883,2034.2217807840445,1055.6004780088883
BDI,Burundi,2370,1213,38,41,2389.0,1233.5,2388.3984185761233,1233.1757436643547,2388.3984185761233,1233.1757436643547
CPV,Cabo Verde,1751,991,48,44,1775.0,1013.0,1761.5050856294442,1000.5344177550212,1761.5050856294442,1000.5344177550212
KHM,Cambodia,3204,1019,77,66,3242.5,1052.0,3243.8343406510376,1051.775778935466,3243.8343406510376,1051.775778935466
CMR,Cameroon,2137,1038,104,147,2189.0,1111.5,2202.8622005233105,1110.7846238435545,2202.8622005233105,1110.7846238435545
CAN,Canada,436,241,1022,489,947.0,485.5,791.5420378772193,547.9888159004438,791.5420378772193,547.9888159004438
CAF,Central African Republic,2204,1062,165,116,2286.5,1120.0,2282.7590306763746,1119.405042824532,2282.7590306763746,1119.405042824532
TCD,Chad,2193,920,137,199,2261.5,1019.5,2258.9419508742453,1018.9443680540437,2258.9419508742453,1018.9443680540437
CHL,Chile,795,1386,506,454,1048.0,1613.0,1234.5298988764614,1600.970991826488,1234.5298988764614,1600.970991826488
CHN,China,2877,577,713,447,3233.5,800.5,3169.893440568964,774.7848807139549,3169.893440568964,774.7848807139549
COL,Colombia,1110,1032,186,220,1203.0,1142.0,1222.1304780771115,1147.864531211377,1222.1304780771115,1147.864531211377
COM,Comoros,2532,1316,32,29,2548.0,1330.5,2553.387080621532,1333.769602935466,2553.387080621532,1333.769602935466
COG,Republic of the Congo,2166,1144,103,117,2217.5,1202.5,2230.8172015827586,1202.1102650424878,2230.8172015827586,1202.1102650424878
COD,Democratic Republic of the Congo,2179,1126,234,231,2296.0,1241.5,2303.2442842871797,1240.6571168995542,2303.2442842871797,1240.6571168995542
CRI,Costa Rica,1049,1059,69,82,1083.5,1100.0,1096.4377595669014,1085.200852940799,1096.4377595669014,1085.200852940799
CIV,Ivory Coast,1942,1065,86,89,1985.0,1109.5,1983.2300209617715,1109.1112812487102,1983.2300209617715,1109.1112812487102
HRV,Croatia,2194,657,84,64,2236.0,689.0,2222.3255353770446,685.5665867719107,2222.3255353770446,685.5665867719107
CUB,Cuba,1073,922,141,56,1143.5,950.0,1161.0776069130993,949.8196029383104,1161.0776069130993,949.8196029383104
CYP,Cyprus,2407,786,38,24,2426.0,798.0,2423.238505920564,797.526547382044,2423.238505920564,797.526547382044
CZE,Czechia,2177,606,94,45,2224.0,628.5,2224.498824325037,628.0482164280884,2224.498824325037,628.0482164280884
DNK,Denmark,2132,530,97,53,2180.5,556.5,2153.363616001023,554.3897418239994,2153.363616001023,554.3897418239994
DJI,Djibouti,2515,1042,36,37,2533.0,1060.5,2531.513367776082,1060.182077508266,2531.513367776082,1060.182077508266
DMA,Dominica,1340,1009,20,22,1350.0,1020.0,1350.0252761593526,1019.1605751580439,1350.0252761593526,1019.1605751580439
DOM,Dominican Republic,1221,960,59,44,1250.5,982.0,1250.1301633662645,981.0312788991992,1250.1301633662645,981.0312788991992
ECU,Ecuador,993,1168,208,93,1097.0,1214.5,1157.331279738232,1215.0183143822214,1157.331279738232,1215.0183143822214
EGY,Egypt,2321,826,156,127,2399.0,889.5,2383.236419401957,889.4647418311105,2383.236419401957,889.4647418311105
SLV,El Salvador,1015,1022,44,32,1037.0,1038.0,1036.380988092199,1037.5824999935985,1036.380988092199,1037.5824999935985
GNQ,Equatorial Guinea,2104,1144,82,76,2145.0,1182.0,2167.1674424578327,1176.1140473799105,2167.1674424578327,1176.1140473799105
ERI,Eritrea,2454,982,94,81,2501.0,1022.5,2481.3094010916993,1021.9314084920883,2481.3094010916993,1021.9314084920883
EST,Estonia,2288,508,90,41,2333.0,528.5,2338.055622728091,528.0598807153771,2338.055622728091,528.0598807153771
SWZ,eSwatini,2390,1479,32,35,2406.0,1496.5,2405.8066740651866,1496.6279687566212,2405.8066740651866,1496.6279687566212
ETH,Ethiopia,2415,1017,188,148,2509.0,1091.0,2491.381363884166,1090.7978518527993,2491.381363884166,1090.7978518527993
FJI,Fiji,0,1329,4096,122,2048.0,1390.0,4073.082588407354,1397.1001584981327,4073.082588407354,1397.1001584981327
FIN,Finland,2275,389,141,134,2345.5,456.0,2359.9300624005728,455.7494640526216,2359.9300624005728,455.7494640526216
FRA,France,1337,605,1356,842,2015.0,1026.0,2072.889902777043,663.257886532266,2072.889902777043,663.257886532266
GAB,Gabon,2139,1160,83,88,2180.5,1204.0,2181.5045699899715,1203.9418251605325,2181.5045699899715,1203.9418251605325
GMB,Gambia,1849,1029,51,26,1874.5,1042.0,1884.8372932967363,1041.7177510855104,1884.8372932967363,1041.7177510855104
GEO,Georgia,2495,691,93,46,2541.5,714.0,2544.491664210927,713.5350856135103,2544.491664210927,713.5350856135103
DEU,Germany,2107,560,121,106,2167.5,613.0,2167.2530616846716,613.4314571719104,2167.2530616846716,613.4314571719104
GHA,Ghana,2003,1060,68,90,2037.0,1105.0,2035.7437923593172,1104.1923831011545,2035.7437923593172,1104.1923831011545
GRC,Greece,2263,712,115,96,2320.5,760.0,2297.7726703569033,750.1332603505771,2297.7726703569033,750.1332603505771
GRD,Grenada,1337,1044,21,23,1347.5,1055.5,1346.2473290444902,1056.7302510876434,1346.2473290444902,1056.7302510876434
GTM,Guatemala,990,984,63,63,1021.5,1015.5,1020.7365066608686,1015.1948344206218,1020.7365066608686,1015.1948344206218
